"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",4620,"spain","vc","valencia","2020-08-30","LA MALVA-ROSA",39.47553,-0.32461,"Entire townhouse","Entire home/apt",7,"4",6,"$121.00",2,365,83,20,114.5,1145
"2",48154,"spain","vc","valencia","2020-08-30","MORVEDRE",39.48575,-0.37428,"Entire apartment","Entire home/apt",4,"2",2,"$51.00",3,15,92,30,NA,0
"3",55692,"spain","vc","valencia","2020-08-30","LA SEU",39.47681,-0.37523,"Entire apartment","Entire home/apt",3,"1",1,"$100.00",1,730,100,0,100,3000
"4",95393,"spain","vc","valencia","2020-08-30","EL CARME",39.47787,-0.38142,"Entire apartment","Entire home/apt",6,"3",6,"$136.86",1,14,96,23,139.714285714286,978
"5",100347,"spain","vc","valencia","2020-08-30","ARRANCAPINS",39.45965,-0.38453,"Entire apartment","Entire home/apt",6,"3",3,"$104.00",5,10,94,0,103.333333333333,3100
"6",102524,"spain","vc","valencia","2020-08-30","CABANYAL-CANYAMELAR",39.47209,-0.33098,"Entire house","Entire home/apt",16,"5+",16,"$393.00",1,1125,92,16,430.357142857143,6025
"7",103386,"spain","vc","valencia","2020-08-30","EL PILAR",39.47591,-0.38243,"Entire serviced apartment","Entire home/apt",5,"2",3,"$88.00",1,14,93,29,84,84
"8",121035,"spain","vc","valencia","2020-08-30","SANT FRANCESC",39.47156,-0.37603,"Private room in house","Private room",2,"1",1,"$37.00",1,30,90,19,37,407
"9",129331,"spain","vc","valencia","2020-08-30","LA ROQUETA",39.46848,-0.38074,"Entire apartment","Entire home/apt",2,"1",1,"$55.00",5,150,88,27,55,165
"10",136378,"spain","vc","valencia","2020-08-30","EL MERCAT",39.47387,-0.3777,"Entire condominium","Entire home/apt",3,"1",0,"$75.00",5,90,90,8,75,1650
"11",137737,"spain","vc","valencia","2020-08-30","LA PETXINA",39.46992,-0.39093,"Entire apartment","Entire home/apt",2,"1",1,"$55.00",2,20,86,29,55,55
"12",146771,"spain","vc","valencia","2020-08-30","EN CORTS",39.45624,-0.36809,"Private room in house","Private room",2,"1",1,"$32.00",2,1125,90,18,32,384
"13",147548,"spain","vc","valencia","2020-08-30","MONT-OLIVET",39.46195,-0.36063,"Entire apartment","Entire home/apt",11,"4",9,"$303.00",2,330,97,0,300.666666666667,9020
"14",149715,"spain","vc","valencia","2020-08-30","CABANYAL-CANYAMELAR",39.46609,-0.32673,"Entire house","Entire home/apt",10,"5+",7,"$175.00",3,30,92,25,200,1000
