"","id","country","region","city","date","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","review_scores_rating","availability_30","price_30","revenue_30"
"1",28925,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Centre ville (Bordeaux)",44.8491,-0.5935,"Entire house","Entire home/apt",12,"5+",13,"$350.00",2,21,100,0,350,10500
"2",185534,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"Entire house","Entire home/apt",6,"3",3,"$125.00",4,15,NA,0,125,3750
"3",218103,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Bgles",44.81418,-0.54842,"Entire apartment","Entire home/apt",4,"1",0,"$110.00",2,21,95,30,NA,0
"4",222887,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Bordeaux Sud",44.83611,-0.5664,"Entire apartment","Entire home/apt",4,"2",3,"$174.00",3,90,94,28,190,380
"5",317273,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Entire apartment","Entire home/apt",3,"1",2,"$127.00",3,90,98,0,127,3810
"6",317658,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Centre ville (Bordeaux)",44.83882,-0.56887,"Entire apartment","Entire home/apt",6,"2",4,"$190.00",3,90,97,3,190,5130
"7",333031,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Centre ville (Bordeaux)",44.84267,-0.57656,"Entire apartment","Entire home/apt",2,NA,1,"$72.00",1,1125,98,28,70,140
"8",333592,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Centre ville (Bordeaux)",44.84701,-0.58249,"Entire apartment","Entire home/apt",2,"1",1,"$90.00",2,31,93,18,98.3333333333333,1180
"9",365993,"france","nouvelle-aquitaine","bordeaux","2020-09-19","Bgles",44.81149,-0.55825,"Entire apartment","Entire home/apt",6,"2",3,"$85.00",5,30,99,15,85,1275
"10",400306,"france","nouvelle-aquitaine","bordeaux","2020-09-19","La Bastide",44.8439,-0.55831,"Entire condominium","Entire home/apt",2,"1",1,"$59.00",1,1125,97,0,59,1770
